Local Date: May 14 2021 Local Time: 14:44:35
Build info: Dec 29 2020 22:52:16 r

INFO    14:44:38:258  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:358  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:460  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:559  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:660  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:759  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:859  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:38:958  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:059  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:159  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:259  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:359  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:458  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:559  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:659  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:759  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:860  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:39:960  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:060  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:159  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:260  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:361  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:460  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:560  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:659  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:760  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:858  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:40:959  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:058  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:159  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:260  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:359  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:459  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:559  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:659  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:759  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:858  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:41:959  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:42:058  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:42:158  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:42:258  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:42:359  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
INFO    14:44:42:459  21508; [API][rtc_engine_impl.cpp:2922][agora::rtc::RtcEngine::queryInterface]
